genes,KI_3,KI_4,KI_6,KI_7,KI_8,SAA_4,SAA_5,SAA_6,SAA_7,SAA_8
Gm12185,0,1,2,0,0,0,0,0,0,0
Psme2b,5,9,9,9,11,7,12,1,4,5
X9930111J21Rik1,15,24,10,25,6,14,34,10,6,5
Olfr56,0,0,0,0,0,0,0,0,0,0
Tgtp1,0,2,2,4,5,0,10,3,5,12
X9930111J21Rik2,27,34,36,17,35,12,22,13,5,37
Tgtp2,6,1,5,2,8,1,0,6,8,5
Ifi47,0,18,18,6,6,1,6,4,0,14
Olfr1396,0,0,0,0,0,2,0,0,0,0
Olfr1395,0,0,0,0,0,0,0,0,0,0
Olfr1394,0,0,0,0,0,0,0,0,0,0
Btnl9,0,2,0,19,0,0,0,0,0,3
Zfp62,88,122,121,91,147,91,98,48,106,116
Mgat1,91,131,156,88,173,83,105,97,124,100
Olfr1393,0,0,0,0,0,0,0,0,0,0
Olfr1392,0,0,0,0,0,0,0,0,0,0
Olfr10,0,0,0,0,0,0,0,0,0,0
Olfr1391,0,0,0,0,0,0,0,0,0,0
Olfr1390,0,0,0,0,0,0,0,0,0,0
Olfr1389,0,0,0,0,0,0,0,0,0,0
Olfr1388,0,0,0,0,0,0,0,0,0,0
Olfr1387,0,0,0,0,0,0,0,0,0,0
Olfr1386,0,0,0,0,0,0,0,0,0,0
Olfr1385,0,0,0,0,0,0,0,0,0,0
Olfr1384,0,0,0,0,0,0,0,0,0,0
Olfr1383,0,0,0,0,0,0,0,0,0,0
Olfr1382,0,0,0,0,0,0,0,0,0,0
Olfr1381,0,0,0,0,0,0,0,0,0,0
Olfr1380,0,0,0,0,0,0,0,0,0,0
Flt4,0,18,0,29,13,0,10,15,0,0
Scgb3a1,0,0,0,0,0,0,0,1,0,0
Cnot6,7,47,47,34,53,10,32,4,21,43
Gfpt2,0,0,0,0,25,0,13,16,0,23
Mapk9,108,19,49,83,138,40,32,54,51,89
Rasgef1c,0,0,0,0,0,0,5,0,0,0
Rnf130,42,61,63,40,54,41,24,27,65,55
Tbc1d9b,121,96,129,84,135,86,100,60,59,106
Gm12195,0,4,0,4,0,1,0,3,0,2
Mrnip,0,0,4,0,4,1,1,4,1,4
Sqstm1,493,464,730,472,569,221,222,286,383,371
Mgat4b,9,7,4,4,0,2,3,10,6,7
Ltc4s,8,30,28,17,33,7,20,7,12,28
Gm26542,1,4,1,0,2,0,0,0,3,0
Maml1,7,7,11,6,11,6,5,1,3,6
Canx,969,1282,1674,941,1435,504,811,764,813,1187
Cby3,0,0,0,0,2,0,0,0,0,0
Hnrnph1,113,222,278,173,236,79,119,170,138,205
Rufy1,39,40,62,25,26,23,13,22,27,28
Gm12198,0,0,0,0,0,0,0,0,0,2
Adamts2,4,0,14,0,7,12,0,11,4,0
Gm12199,0,0,0,0,0,0,0,0,0,0
Gm12200,0,0,0,0,0,0,0,0,0,0
Zfp354c,14,83,66,28,50,59,6,30,44,20
Zfp879,0,3,8,9,7,0,10,0,4,2
Grm6,0,0,0,0,0,0,0,0,0,0
